key,value,definición
product,bricks,produto = ladrillos
product,charcoal,produto = carbón
product,concrete,produto = formigón
product,electronics,produto = electrónica
product,food,produto = alimento
product,furniture,produto = mobles
product,machinery,produto = maquinaria
product,oil,produto = petróleo
product,packaging,produto = envase
product,rice,produto = arroz
product,steel,produto = aceiro
product,sugar,produto = azucre
product,viez,produto = aspecto
project,opensidewalks,proxecto = beirarrúas abertas
project,OTI_HRI_COSMHA_STM020,proxecto = OTI_HRI_COSMHA_STM020
proposed,motorway,autoestrada=proposta
proposed,rail,o ferrocarril proposto
proposed,residential,proposto = Residencial
proposed:electrified,contact_line,proposto: electrificado = liña_de_contacto
proposed:frequency,50,proposta: frecuencia=50
proposed:frequency,16.7,"proposta: frecuencia=16,7"
proposed:railway,rail,proposto: carril = vía
proposed:voltage,15000,proposto: tensión=15000
proposed:voltage,25000,proposto: tensión=25000
protect_class,2,clase de protección = *
protect_class,3,clase de protección = *
protect_class,4,clase_protectiva = *
protect_class,5,clase de protección = *
protect_class,6,clase de protección = *
protect_class,11,clase de protección = *
protect_class,13,clase de protección = *
protect_class,19,clase de protección = *
protect_class,21,clase de protección = *
protect_class,1a,clase de protección = 1a
protect_class,1b,clase de protección = 1b
protected,perpetuity,protexido = a perpetuidade
protected_area,nature_reserve,área protexida = reserva natural
protected_area,recreation,área protexida = recreación
protection_title,Gebietsverbot,título de protección = Gebietsverbot
protection_title,Schongebiet,título de protección = título de protección
protection_title,Site_of_Special_Scientific_Interest,título de protección = Sitio de especial interese científico
psv,designated,psv = designado
psv,no,psv = non
public_transport,entrance,transporte público = entrada
public_transport,entrance_pass,transporte público = pase de entrada
public_transport,halt,transporte público = parada
public_transport,pay_scale_area,transporte público = zona de escala salarial
public_transport,platform,transporte público = plataforma
public_transport,pole,transporte público = polo
public_transport,station,transporte público = estación
public_transport,stop_area,transporte público = zona_de_parada
public_transport,stop_area_group,transporte público = grupo_de_áreas_de_parada
public_transport,stop_position,transporte público = posición_de_parada
public_transport:version,1,transporte_público:versión = *
public_transport:version,2,transporte_público:versión = *
pump,manual,bomba = manual
pump,no,bomba = non
pump,powered,bomba = motorizada
pump_mechanism,axial_flow,mecanismo de bomba = fluxo axial
pump_mechanism,centrifugal,mecanismo de bomba = centrífuga
pump_mechanism,diaphragm,mecanismo de bomba = diafragma
pump_mechanism,eductor_jet,mecanismo de bomba = chorro edutor
pump_mechanism,gear,mecanismo da bomba = engrenaxe
pump_mechanism,peristaltic,mecanismo de bomba = peristáltica
pump_mechanism,piston,mecanismo da bomba = pistón
pump_mechanism,progressive_cavity,mecanismo de bomba = cavidade progresiva
pump_mechanism,pulser,mecanismo da bomba = botón pulsador
pump_mechanism,ram,mecanismo de bomba = RAM
pump_mechanism,rope,mecanismo de bomba = corda
pump_mechanism,rotary_vane,mecanismo de bomba = paleta rotatoria
pump_mechanism,screw,mecanismo da bomba = parafuso
raba:id,1100,raba: identificación = *
raba:id,1160,raba: identificación = *
raba:id,1180,raba: identificación = *
raba:id,1190,raba: identificación = *
raba:id,1211,raba: identificación = *
raba:id,1212,raba: identificación = *
raba:id,1222,raba:id=1222
raba:id,1300,raba: identificación = *
raba:id,1410,raba: identificación = *
raba:id,1500,raba: identificación = *
raba:id,1800,raba:id=1800
raba:id,2000,raba: identificación = *
radar_transponder,ramark,transpondedor de radar = marca
radar_transponder:band,S,transpondedor de radar: banda = S
radar_transponder:band,X,transpondedor de radar: banda = X
radio_transponder:category,aeronautical,transpondedor de radio:categoría = aeronáutico
radio_transponder:category,circular,transpondedor de radio:categoría = circular
radio_transponder:category,coast_radio,transpondedor de radio:categoría = radio costeira
radio_transponder:category,consol,transpondedor de radio:categoría = consola
radio_transponder:category,direction_finding,transpondedor de radio:categoría = busca de enderezos
radio_transponder:category,directional,transpondedor de radio:categoría = direccional
radio_transponder:category,rotating_pattern,transpondedor de radio:categoría = patrón de rotación
railway,*,ferrocarril = *
railway,abandoned,ferrocarril = abandonado
railway,blockpost,ferrocarril = poste de esclusa
railway,border,ferrocarril = fronteira
railway,buffer_stop,ferrocarril = parada_de_amortiguador
railway,construction,ferrocarril = construción
railway,container_terminal,ferrocarril = terminal de contedores
railway,crossing,paso a nivel ferroviario = paso a nivel
railway,crossing_box,caixa de paso de ferrocarril = vía férrea
railway,crossing_controller,controlador de cruce ferroviario = controlador de cruces
railway,crossover,ferrocarril = transversal
railway,defect_detector,ferrocarril = detector de defectos
railway,derail,ferrocarril = descarrilar
railway,diamond,ferrocarril = diamante
railway,dismantled,ferrocarril = desmantelado
railway,disused,ferrocarril = obsoleto
railway,facility,ferrocarril = instalacións
railway,fuel,ferrocarril = combustible
railway,funicular,ferrocarril = funicular
railway,gauge_conversion,ferrocarril = conversión de ancho de vía
railway,halt,ferrocarril = parada
railway,hirail_access,ferrocarril = acceso ferroviario
railway,historic,ferrocarril = histórico
railway,historical,ferrocarril = histórico
railway,hump_yard,ferrocarril = chepa
railway,isolated_track_section,ferrocarril = sección de vía illada
railway,junction,ferrocarril = unión
railway,level_crossing,paso a nivel = ferrocarril
railway,light_rail,ferrocarril = tren lixeiro
railway,loading_gauge,indicador de carga ferroviaria = indicador de carga
railway,loading_rack,ferrocarril = plataforma de carga
railway,loading_ramp,ferrocarril = rampa de carga
railway,lubricator,ferrocarril = lubricador
railway,milestone,ferrocarril = fito
railway,miniature,ferrocarril = miniatura
railway,monorail,ferrocarril = monorraíl
railway,narrow_gauge,ferrocarril = vía estreita
railway,obliterated,ferrocarril = borrado
railway,owner_change,ferrocarril = cambio de propiedade
railway,phone,ferrocarril = teléfono
railway,platform,ferrocarril = plataforma
railway,platform_edge,ferrocarril = plataforma_de_bordo
railway,power_supply,ferrocarril = subministración de enerxía
railway,preserved,ferrocarril = Preservado
railway,proposed,ferrocarril = proposto
railway,PRT,ferrocarril = PRT
railway,radio,ferrocarril = radio
railway,rail,vía férrea = vía férrea
railway,rail_brake,ferrocarril = freo_ferroviario
railway,railway_crossing,vía férrea = paso a nivel de vía férrea
railway,razed,ferrocarril = devastado
railway,roundhouse,ferrocarril = rotonda
railway,service_station,estación de servizo = ferrocarril
railway,signal,ferrocarril = sinal
railway,signal_box,ferrocarril = caixa de sinalización
railway,site,ferrocarril = sitio
railway,spur_junction,ferrocarril = ramal_de_cruce
railway,station,estación de ferrocarril = estación
railway,station/Proposal,ferrocarril = estación/Proposta
railway,stop,ferrocarril = parada
railway,subway,ferrocarril = subterráneo
railway,subway_entrance,ferrocarril = entrada do metro
railway,switch,ferrocarril = cambio
railway,technical_station,estación_técnica = ferrocarril
railway,track_scale,escala de vía férrea = vía férrea
railway,train_station_entrance,ferrocarril = entrada_á_estación_de_tren
railway,tram,ferrocarril = tranvía
railway,tram_crossing,ferrocarril = paso de tranvía
railway,tram_level_crossing,ferrocarril = paso_a_nivel_de_tranvía
railway,tram_stop,ferrocarril = parada de tranvía
railway,traverser,paso a nivel ferroviario = paso a nivel
railway,turntable,ferrocarril = plataforma xiratoria
railway,vacancy_detection,ferrocarril = detección_de_vacancias
railway,ventilation_shaft,ferrocarril = conduto de ventilación
railway,viaduct,ferrocarril = viaduto
railway,wash,ferrocarril = lavar
railway,water_crane,ferrocarril = grúa de auga
railway,water_tower,ferrocarril = torre de auga
railway,workshop,ferrocarril = taller
railway,yard,ferrocarril = patio
railway:atb,no,ferrocarril:atb = non
railway:atc,no,vía:atc=ningún
railway:ballastless,no,ferrocarril: sen balasto = non
railway:bidirectional,possible,ferrocarril: bidireccional = posible
railway:bidirectional,regular,ferrocarril: bidireccional = regular
railway:ctc,no,vía:ctc=ningún
railway:ctcs,2,vía:ctcs=2
railway:ctcs,3,vía:ctcs=3
railway:electricity,joint,ferrocarril:electricidade = articulación
railway:etcs,1,"ferrocarril, etc. = *"
railway:etcs,2,"ferrocarril, etc. = *"
railway:etcs,no,"ferrocarril, etc. = non"
railway:evm,no,vía:evm=ningún
railway:gnt,no,ferrocarril:gnt = non
railway:kvb,no,vía:kvb=ningún
railway:local_operated,no,ferrocarril:operado_localmente = non
railway:ls,no,ferrocarril:ls = non
railway:lzb,no,ferrocarril: lzb = non
railway:milestone:catenary_mast,no,ferrocarril: fito: catenary_mast = non
railway:milestone:emergency_brake_override,no,ferrocarril:fito:anulación_de_freo_de_emerxencia = non
railway:preferred_direction,backward,ferrocarril: dirección_preferida = cara atrás
railway:preferred_direction,both,ferrocarril: dirección_preferida = ambas
railway:preferred_direction,forward,ferrocarril: dirección_preferida = fronte
railway:ptc,no,vía:ptc=ningún
railway:pzb,no,ferrocarril:pzb = non
railway:radio,analogue,ferrocarril:radio = termo análogo
railway:radio,analoque,ferrocarril: radio = analóxica
railway:radio,gsm-r,ferrocarril:radio = gsm-r
railway:rail,continuous,ferrocarril: ferrocarril = continuo
railway:signal:combined,DE-ESO:ks,vía:sinal:combinado=DE-ESO:ks
railway:signal:combined:form,light,vía:sinal:combinado:forma=vía
railway:signal:combined:height,normal,luz:sinal:combinado:nivel=vía
railway:signal:direction,backward,normal:sinal:dirección=cara atrás
railway:signal:direction,forward,ferrocarril:sinal:dirección = cara adiante
railway:signal:distant,DE-ESO:ks,vía:sinal:distante=DE-ESO:ks
railway:signal:distant,DE-ESO:vr,ferrocarril:sinal:distante = DE-ISO:vr
railway:signal:distant:form,light,ferrocarril:sinal:distante:forma = luz
railway:signal:distant:height,normal,ferrocarril:sinal:distante:altura = normal
railway:signal:distant:states,DE-ESO:ks1;DE-ESO:ks2,via:signal:distant:states=DE-ESO:ks1;DE-ESO:ks2
railway:signal:electricity:form,sign,vía:sinal:electricidade:vía=de
railway:signal:main,DE-ESO:hp,ferrocarril:sinal:principal = DE-ESO:cv
railway:signal:main,DE-ESO:ks,signo da forma:sign:main=OF-THAT:ks
railway:signal:main:form,light,ferrocarril:sinal:principal:forma = luz
railway:signal:main:function,block,vía:sinal:principal:vía=de
railway:signal:main:function,entry,bloque de funcións:sinal:principal:vía=de
railway:signal:main:function,exit,ferrocarril:sinal:principal:función = saída
railway:signal:main:function,intermediate,ferrocarril:sinal:principal:función = intermedia
railway:signal:main:height,normal,ferrocarril:sinal:principal:altura = normal
railway:signal:main:substitute_signal,DE-ESO:db:zs1,entrada de función: sinal: principal: sinal_substituto = DE-ESO: db: zs1
railway:signal:minor,DE-ESO:sh,ferrocarril:signal:menor = DE-ESO:sh
railway:signal:minor,DE-ESO:sh1,vía:sinal:menor=DE-ESO:sh1
railway:signal:minor:form,light,ferrocarril:sinal:menor:forma = luz
railway:signal:minor:form,sign,vía:sinal:menor:vía=de
railway:signal:minor:height,dwarf,ferrocarril:sinal:menor:altura = anano
railway:signal:minor:height,normal,signo da forma:signo:less:level=way
railway:signal:minor:states,DE-ESO:hp0;DE-ESO:sh1,railroad:signal:minor:states = DE-ESO:hp0;DE-ESO:sh1
railway:signal:position,in_track,normal:sinal:#posición=na_via
railway:signal:position,left,ferrocarril:sinal:posición = esquerda
railway:signal:position,right,ferrocarril:sinal:posición = Correcto
railway:signal:shunting:form,light,ferrocarril:sinal:manobra:forma = luz
railway:signal:shunting:height,dwarf,vía:sinal:manobras:vía=de
railway:signal:shunting:height,normal,anano da elevación: sinal: derivación: elevación = camiño
railway:signal:speed_limit,DE-ESO:lf7,ferrocarril:sinal:límite_de_velocidade = DE-ESO:lf7
railway:signal:speed_limit,DE-ESO:zs3,ferrocarril:sinal:límite_de_velocidade = DE-ESO:zs3
railway:signal:speed_limit_distant,DE-ESO:zs3v,normal:sinal:límite_de_velocidade_afastado=DE-ESO:zs3v
railway:signal:speed_limit_distant:form,light,vía:sinal:límite_de_velocidade_distante:forma=vía
railway:signal:speed_limit_distant:form,sign,luz:sinal:límite_de_velocidade_distante:camiño=de
railway:signal:speed_limit_distant:height,normal,ferrocarril:sinal:límite_de_velocidade_afastado:altura = normal
railway:signal:speed_limit:form,light,ferrocarril:sinal:límite_de_velocidade:forma = luz
railway:signal:speed_limit:form,sign,ferrocarril:sinal:límite_de_velocidade:forma = sinal
railway:signal:speed_limit:height,normal,ferrocarril:sinal:límite_de_velocidade:altura = normal
railway:signal:stop:form,sign,signo da forma:signo:stop:camiño=de
railway:signal:traversable,DE-ESO:mastschild_rot-weiss,signo da forma:signo:traversable=OF-THAT:mastschild_rot-weiss
railway:signal:traversable:type,written_default_speed;dictated_default_speed,vía:sinal:travesable:o tipo=velocidade_predeterminada_escrita;vía_predeterminada_dictada
railway:switch,default,ferrocarril: interruptor = predeterminado
railway:switch,double_slip,velocidade:cambio=carril_de
railway:switch:electric,no,ferrocarril: interruptor eléctrico = non
railway:tbl,1+,dobre deslizamento: tbl = 1 +
railway:tbl,no,ferrocarril:tábela = non
railway:tilting,no,vía:tilting=ningún
railway:track_class,3,vía:track_class=3
railway:track_class,4,vía:track_class=4
railway:track_class,5,vía:track_class=5
railway:track_class,C3,vía:track_class=C3
railway:track_class,D3,vía:track_class=D3
railway:track_class,D4,ferrocarril: clase_de_vía = D4
railway:track_ref,1,ferrocarril: referencia_da_vía = *
railway:track_ref,2,ferrocarril: referencia_da_vía = *
railway:track_ref,3,vía:ref_track=3
railway:track_ref,4,vía:ref_track=4
railway:track_ref,U,vía:ref_track=U
railway:track_type,main,ferrocarril:tipo_de_vía = principal
railway:track_type,minor,vía:tipo_de_pista=vía
railway:traffic_mode,freight,ferrocarril:modo_de_tráfico = transporte
railway:traffic_mode,mixed,ferrocarril:modo_tráfico = mixto
railway:traffic_mode,passenger,ferrocarril:modo_tráfico = pasaxeiro
railway:turnout_side,left,ferrocarril:lado_do_turno = esquerda
railway:turnout_side,right,ferrocarril:lado_do_desvío = Correcto
railway:tvm,no,menor:tvm=ningún
railway:vacancy_detection,axle_counter,ferrocarril: detección de vacantes = contador de eixes
railway:vacancy_detection,insulated_rail_joint,ferrocarril: detección de vacantes = xunta ferroviaria illada
ramp,no,rampla = non
ramp,separate,rampla = separada
ramp:wheelchair,no,rampla:cadeira de rodas=ningunha
ramp:wheelchair,separate,rampla:cadeira de rodas=reciclaxe
razed:railway,rail,devastado: ferrocarril = vía
recreation_ground,showground,parque de recreo = parque de feira
recycling_type,*,tipo de reciclaxe = *
recycling_type,centre,tipo_de_reciclaxe = centro
recycling_type,container,tipo_de_reciclaxe = contedor
recycling:glass,no,reciclaxe: vidro = non
recycling:plastic,no,separado: plástico = ningún
rednap:grupo,0,rednap:grupo = *
rednap:nodo,no,rednap: nodo = non
reef,coral_reef,arrecife = do arrecife de coral
ref,1,referencia=1
ref,*,árbitro = *
ref,A,ref=Un
ref,A1,ref=A1
ref,SS676,árbitro = SS676
ref,US 1,ref=EEUU 1
ref:colour,orange,ref:laranxa=coloreado
ref:colour,red,ref:vermello=coloreado
ref:colour,yellow,ref: a cor = amarelo
ref:colour_tx,black,ref:color_tx = negro
ref:colour_tx,white,ref:color_tx = branco
ref:drain_zone,1,ref:zona_de_dreaxe = *
ref:gsi,*,referencia:gsi = *
ref:opendataparis:domanialit,Alignement,ref:opendataparis:domanialit = aliñamento
ref:opendataparis:domanialit,CIMETIERE,ref:opendataparis:domanialit = CIMETIERE
ref:opendataparis:domanialit,JARDIN,ref:opendataparis:domanialit = XARDÍN
ref:signed,no,ref:asinado=ningún
ref:type,arbrei,referencia:tipo = árbore
religion,animist,relixión = animista
religion,antoinist,relixión = antoninista
religion,bahai,relixión = bahá'í
religion,buddhist,relixión = budista
religion,caodaism,relixión = caodaísmo
religion,chinese_folk,relixión = folclore chinés
religion,christian,relixión = cristiá
religion,confucian,relixión = confuciano
religion,hindu,relixión = hindú
religion,jain,relixión = xainismo
religion,jewish,relixión = xudía
religion,multifaith,relixión = multirrelixioso
religion,muslim,relixión = musulmá
religion,none,relixión = ningunha
religion,pagan,relixión = pagán
religion,pastafarian,relixión = pastafari
religion,scientologist,relixión = cienciólogo
religion,Self-Realization_Fellowship,relixión = bolsa de autorrealización
religion,shinto,relixión = sintoísmo
religion,sikh,relixión = sikh
religion,spiritualist,relixión = espiritualista
religion,taoist,relixión = taoísta
religion,unitarian_universalist,relixión = unitario universalista
religion,voodoo,relixión = vudú
religion,yazidi,relixión = yazidí
religion,zoroastrian,relixión = zoroastriano
removed:power,line,eliminado: alimentación = liña
rental,appliance,aluguer = dispositivo
rental,boat,aluguer = barco
rental,clothes,aluguer = roupa
rental,event,aluguer = evento
rental,quadracycle,aluguer = cuadriciclo
rental,ski,aluguer = esquí
rental,strandkorb,aluguer = aluguer de praia
rental,trailer,aluguer = remolque
repair,assisted_self_service,reparación = autoservizo asistido
research,aerospace,investigación = aeroespacial
reservation,no,reserva=ningunha
reservation,required,reserva=teito
reservoir_type,sewage,tipo_depósito = augas residuais
reservoir_type,water_storage,tipo_de_tanque = almacenamento de auga
residential,apartments,Residencial = apartamentos
residential,condominium,Residencial = condominio
residential,duplex,Residencial = dúplex
residential,halting_site,Residencial = sitio_de_detención
residential,rural,Residencial = rural
residential,single_family,Residencial = unifamiliar
residential,terrace,Residencial = terraza
residential,trailer_park,Residencial = parque de caravanas
residential,university,Residencial = Universitario
residential,urban,Residencial = urbano
resource,aggregate,recurso = engadir
resource,coal,recurso = carbón
resource,gravel,recurso = imposto
resource,sand,recurso = area
restriction,no_left_turn,restrición = sen_xiro_á_esquerda
restriction,no_right_turn,restrición = prohibido xirar á dereita
restriction,no_right_turn_on_red,restrición = prohibido xirar á dereita en vermello
restriction,no_straight_on,restrición = no_straight_on
restriction,no_u_turn,restrición = Non é a túa quenda
restriction,only_left_turn,restrición = só xiro á esquerda
restriction,only_right_turn,restrición = só xiro á dereita
restriction,only_straight_on,restrición = só_en_recto
retaining_wall,flood_wall,muro de contención = muro de inundación
review,no,revisión = non
road_marking,bus_stop,sinalización viaria parada de autobús
road_marking,dash,liña de marcas viarias
road_marking,dashed_crossing_edge,"sinalización viaria, bordo de paso roto"
road_marking,dashed_give_way_line,Liña de ceda o paso na sinalización viaria (liña discontinua)
road_marking,dirt_road,sinalización viaria camiño de terra
road_marking,GB:1001,sinalización viaria GB:1001
road_marking,GB:1003A,sinalización viaria GB:1003A
road_marking,GB:1062,sinalización viaria GB:1062
road_marking,give_way,ceda o cedimento das marcas viarias
road_marking,gore_chevron,sinalización viaria gore chevron
road_marking,HK:604[right],sinalización_estrada HK:604[dereita]
road_marking,lane_divider,sinalización viaria divisoria de carril
road_marking,left;through,sinalización viaria esquerda; intersección
road_marking,no,sinalización viaria nº
road_marking,none,marcas viarias ningunha
road_marking,only,só sinalización viaria
road_marking,pedestrian_crossing_rectangle,rectángulo de paso de peóns con marcas viarias
road_marking,railroad_crossing,sinalización viaria paso a nivel de ferrocarril
road_marking,right,sinalización_estrada_dereita
road_marking,right;through,sinalización viaria dereita; intersección
road_marking,road,sinalización viaria
road_marking,separate,sinalización_viaria_separada
road_marking,sharrow,sinalización viaria Sharrow
road_marking,solid_crossing_edge,sinalización viaria bordo de paso sólido
road_marking,solid_lane_divider,sinalización viaria divisor de carril sólido
road_marking,solid_line,liña continua de sinalización viaria
road_marking,solid_parking_space_divider,marcas viarias separador sólido de espazo de aparcamento
road_marking,solid_road_edge,sinalización viaria de bordo sólido
road_marking,solid_stop_line,= | sinalización viaria = liña_de_parada_sólida
road_marking,solid_stop_line;stop,sinalización viaria liña de parada continua; parada
road_marking,stop,parada de sinalización viaria
road_marking,stop_line,marcas viarias liña de parada
road_marking,through,paso de marcas viarias
road_marking,through;right,marcas viarias á dereita
road_marking,traffic_sign,sinal de tráfico de sinalización viaria
road_marking,turn_dashes,marcas viarias liñas de xiro
road_marking,yellow_divider,marcas viarias divisor amarelo
road_marking,zebra,sinalización viaria de cebra
roller_coaster,station,montaña rusa = Rexistro Civil
roller_coaster,support,montaña rusa = apoio
roller_coaster,track,montaña rusa = pista
roof:colour,#808080,requirido:cor=#808080
roof:colour,#938870,tellado: cor = *
roof:downpipe,no,tellado: baixante = non
roof:height,1,teito: altura = *
roof:height,2,teito: altura = *
roof:height,3,teito: altura = *
roof:height,4,teito: altura = *
roof:height,5,teito: altura = *
roof:height,0.5,teito: altura = *
roof:height,1.5,teito: altura = *
roof:height,2.5,teito: altura = *
roof:levels,0,teito:niveis = *
roof:levels,1,teito:niveis = *
roof:levels,2,teito:niveis = *
roof:levels,0.5,teito:niveis = *
roof:levels,0.8,teito:niveis = *
roof:levels,1.5,teito:niveis = *
roof:material,asbestos,tellado: material = amianto
roof:material,asphalt,tellado: material = asfalto
roof:material,cgi,tellado: material = cgi
roof:material,concrete,tellado: material = formigón
roof:material,copper,tellado: material = cobre
roof:material,eternit,tellado: material = eterno
roof:material,glass,tellado: material = vidro
roof:material,grass,tellado: material = herba
roof:material,gravel,tellado: material = grava
roof:material,metal,tellado: material = metal
roof:material,metal sheet,tellado: capa = de material metálico
roof:material,metal_sheet,tellado: material = chapa metálica
roof:material,metal_sheet,tellado: material = chapa_metálica
roof:material,plastic,tellado: material = plástico
roof:material,rcc,tellado: material = rcc
roof:material,roof_tiles,tellado: material = tellas
roof:material,slate,tellado: material = lousa
roof:material,stone,tellado: material = pedra
roof:material,tar_paper,tellado: material = papel alcatranado
roof:material,thatch,tellado: material = palla
roof:material,tile,tellado: material = tella
roof:material,tiles,tellado: material = laxes
roof:material,tin,tellado: material = lata
roof:material,wood,tellado: material = madeira
roof:material,zink,tellado: material = zinc
roof:orientation,across,tellado: orientación = recta
roof:orientation,along,tellado: orientación = ao longo
roof:orientation:compass,N-S,tellado:orientación:brúxula = NS
roof:shape,2_face_(pitched),tellado: forma = 2_caras_(inclinado)
roof:shape,2_faces_(pitched),tellado: forma = 2_caras_(inclinadas)
roof:shape,3dr,tellado: forma = 3dr
roof:shape,dome,tellado:forma = Faime
roof:shape,double_saltbox,teito: forma = caixa_doble_de_sal
roof:shape,flat,tellado: forma = plano
roof:shape,gabled,tellado: forma = a dúas augas
roof:shape,gabled_row,tellado: forma = fila_a_duas_aguas
roof:shape,gambrel,tellado: forma = abucheo
roof:shape,half_hipped,tellado:forma = media cadeira
roof:shape,half-hipped,tellado: forma = media cadeira
roof:shape,hipped,tellado: forma = a catro augas
roof:shape,lean_to,tellado: forma = inclinarse
roof:shape,mansard,tellado: forma = buhardilla
roof:shape,many,tellado: forma = moitos
roof:shape,mixed,tellado: forma = mixta
roof:shape,onion,tellado: forma = cebola
roof:shape,pitched,tellado: forma = inclinado
roof:shape,pyramidal,tellado: forma = piramidal
roof:shape,quadruple_saltbox,tellado: forma = caixa_de_sal_cuadrupla
roof:shape,round,tellado:forma = redonda
roof:shape,saltbox,tellado:forma = caixa de sal
roof:shape,shed,tellado: forma = galpón
roof:shape,side_hipped,tellado:forma = lateralmente
roof:shape,skillion,teito:forma = capacidade
roof:shape,sloped,tellado: forma = inclinado
room,carrel,habitación = recuncho nunha biblioteca
room,class,aula = clase
room,corridor,habitación = corredor
room,elevator,habitación = ascensor
room,laboratory,sala = laboratorio
room,office,habitación = oficina
room,restaurant,habitación = restaurante
room,shop,habitación = tenda
room,stairs,habitación = escaleiras
room,storage,cuarto = almacenamento
room,technical,sala = técnico
room,toilet,cuarto = baño
room,toilets,cuarto = cuartos de baño
roundtrip,no,viaxe de ida e volta = non
route,aqueduct,ruta = acueduto
route,atv,ruta = canle de televisión británica
route,bicycle,ruta = bicicleta
route,boat,ruta = barco
route,bus,ruta = autobús
route,canal,ruta = canle
route,canoe,ruta = canoa
route,coach,ruta = autobús
route,detour,ruta = desvío
route,emergency_access,ruta = acceso_de_emerxencia
route,evacuation,ruta = evacuación
route,ferrata,ruta = vía ferrata
route,ferry,ruta = transporte
route,fitness_trail,ruta = pista de fitness
route,foot,ruta = pé
route,funicular,ruta = funicular
route,hiking,ruta = sendeirismo
route,historic,ruta = histórica
route,horse,ruta = cabalo
route,inline_skates,ruta = patíns en liña
route,light_rail,ruta = tren lixeiro
route,minibus,ruta = minibús
route,monorail,ruta = monorraíl
route,motorboat,ruta = motor
route,mtb,ruta = bicicleta de montaña
route,mudflat_hiking,ruta = sendeirismo por marismas
route,ncn,ruta = ncn
route,nordic_walking,ruta = marcha nórdica
route,pipeline,ruta = tubaxe
route,piste,ruta = pista
route,power,ruta = enerxía
route,railway,ruta = ferrocarril
route,road,ruta = estrada
route,running,ruta = correr
route,share_taxi,ruta = compartir_taxi
route,ski,ruta = esquí
route,snowmobile,ruta = moto de neve
route,subway,ruta = subterránea
route,tracks,ruta = pistas
route,train,ruta = tren
route,tram,ruta = tranvía
route,transhumance,ruta = transhumancia
route,trolleybus,ruta = trolebús
route,waterway,ruta = vía fluvial
route,worship,ruta = Adoración
route_master,bus,ruta_principal = autobús
royal_cypher,EIIR,cifra_real = EIIR
royal_cypher:wikidata,Q33102113,cifrado_real:wikidata=Q33102113
ruins,building,ruínas=construír
sac_scale,alpine_hiking,escala_de_saco = sendeirismo_alpino
sac_scale,demanding_alpine_hiking,escala_de_saco = sendeirismo_alpino_esixente
sac_scale,demanding_mountain_hiking,báscula_de_saco = sendeirismo_de_montaña_esixente
sac_scale,difficult_alpine_hiking,escala_de_saco = sendeirismo_alpino_difícil
sac_scale,hiking,escala_de_saco = sendeirismo
sac_scale,mountain_hiking,escala_de_saco = Alpinismo
salt,no,sal = non
sanitary_dump_station,*,vertedoiro sanitario = *
sby:bldgtype,Accessory_Structure,sby: tipo de edificio = Estrutura_Accesoria
sby:bldgtype,Primary_Structure,sby: tipo de edificio = Estrutura_Primaria
school,blind,escola = cego
school,entrance,escola = entrada
school,primary,escola=primaria
school,special_education_needs,escola = necesidades educativas especiais
school:FR,maternelle,escola:FR = preescolar
school:FR,primaire,escola:FR = principal
school:gender,female,escola:xénero = muller
school:gender,male,escola:xénero = home
school:gender,mixed,escola:xénero = mixto
school:MG,collège,escola:MG = profesorado
school:MG,lycée,escola:MG = instituto
school:MG,prescolaire,escola:MG = preescolar
school:MG,préscolaire,escola:MG = preescolar
school:MG,primaire,escola:MG = principal
school:selective,no,escola: selectiva = non
school:type_idn,sd,escola: type_idn = Dakota do Sur
seamark,anchorage,marca = áncora
seamark,beacon,marca = Faro
seamark,buoy,marca = boia
seamark,landmark,marca = punto de referencia
seamark,lighthouse,marca = faro
seamark:beacon_cardinal:colour,black;yellow,marca marítima: baliza cardinal: cor = amarelo e negro
seamark:beacon_cardinal:colour,black;yellow;black,marca marítima:baliza cardenal:cor = negro;amarelo;negro
seamark:beacon_cardinal:colour,yellow;black,marca marítima:baliza cardenal:cor = amarelo; negro
seamark:beacon_cardinal:colour,yellow;black;yellow,marca marítima:baliza cardinal:cor = amarelo;negro;amarelo
seamark:beacon_cardinal:colour_pattern,horizontal,marca marítima: baliza cardinal: patrón de cor = horizontal
seamark:beacon_cardinal:shape,pile,marca marítima:baliza cardinal:forma = pila
seamark:beacon_cardinal:shape,tower,marca marítima: baliza cardinal: forma = torre
seamark:beacon_isolated_danger:colour,black;red;black,"marca marítima: faro illado perigo: cor = negro, vermello, negro"
seamark:beacon_isolated_danger:colour_pattern,horizontal,marca marítima: faro illado perigo: patrón de cor = horizontal
seamark:beacon_isolated_danger:shape,stake,marca de mar:perigo_baliza_illada:forma = aposta
seamark:beacon_isolated_danger:shape,tower,"marca marítima: faro, perigo illado: forma = torre"
seamark:beacon_lateral:category,channel_left,marca:baliza lateral:categoría = canle esquerda
seamark:beacon_lateral:category,channel_left_bank,marca:baliza lateral:categoría = marxe esquerda da canle
seamark:beacon_lateral:category,channel_right,marca:baliza lateral:categoría = canle dereita
seamark:beacon_lateral:category,channel_right_bank,marca:baliza lateral:categoría = marxe dereita da canle
seamark:beacon_lateral:category,crossover_left,marca:baliza lateral:categoría = cruzado á esquerda
seamark:beacon_lateral:category,crossover_right,marca:baliza lateral:categoría = paso de peóns á dereita
seamark:beacon_lateral:category,danger_left,marca:baliza lateral:categoría = perigo á esquerda
seamark:beacon_lateral:category,danger_right,marca:baliza lateral:categoría = perigo dereito
