key,value,définition
man_made,water_tower,château d'eau artificiel
man_made,water_well,puits artificiel
man_made,water_works,ouvrages hydrauliques artificiels
man_made,watermill,moulin à eau artificiel
man_made,waterway,voie navigable artificielle
man_made,well,puits artificiel
man_made,wildlife_crossing,passage artificiel pour la faune
man_made,wildlife_opening,ouverture artificielle pour la faune
man_made,windmill,moulin à vent artificiel
man_made,windpump,pompe à vent artificielle
man_made,works,œuvres_artificielles
managed,no,géré=non
manhole,drain,regard d'égout = drain
manhole,sewer,regard d'égout
manhole,telecom,trou d'homme = télécommunications
manufacturer,Enercon,fabricant=Enercon
manufacturer,Flock Safety,fabricant=Flock Safety
manufacturer,GE,fabricant = GE
manufacturer,Siemens,fabricant=Siemens
manufacturer,Vestas,fabricant=Vestas
manufacturer:wikidata,Q108485435,fabricant:wikidata=Q108485435
map_size,city,taille_carte=ville
map_size,region,taille_carte=région
map_size,site,taille_carte=site
map_type,scheme,type_carte=schéma
map_type,street,type_carte=rue
map_type,topo,type_carte=topo
mapper,mspray9,mapper=mspray9
marker,aerial,marqueur=aérien
marker,ground,marqueur=sol
marker,paddle,marqueur=pagaie
marker,pedestal,marqueur=piédestal
marker,plate,marqueur=plaque
marker,post,marqueur=post
marker,stone,marqueur=pierre
massage,thai,massage=thaï
massgis:DCAM_ID,0,massgis:DCAM_ID=0
massgis:DEED_ACRES,0.00000000,massgis:DEED_ACRES=0.00000000
massgis:EOEAINVOLV,0,massgis:EOEAINVOLV=0
massgis:FY_FUNDING,0,massgis:FY_FUNDING=0
massgis:IT_VALC,WS1,massgis:IT_VALC=WS1
massgis:IT_VALDESC,WOODED SWAMP DECIDUOUS,massgis:IT_VALDESC=MARAIS BOISÉ À FEUILLUS
massgis:LEV_PROT,P,massgis:LEV_PROT=P
massgis:OS_DEED_BO,0,massgis:OS_DEED_BO=0
massgis:OS_DEED_PA,0,massgis:OS_DEED_PA=0
massgis:PALIS_ID,0,massgis:PALIS_ID=0
massgis:POLY_CODE,3,massgis:POLY_CODE=3
massgis:SOURCE,DEP-WCP,massgis:SOURCE=DEP-WCP
massgis:SOURCE_SCA,12000,massgis:SOURCE_SCA=12000
massgis:WETCODE,14,massgis:WETCODE=14
material,adobe,matériau=adobe
material,aluminium,matériau = aluminium
material,andesite,matériau=andésite
material,brass,matériau=laiton
material,brick,matériau=brique
material,bronze,matériau=bronze
material,composite,matériau=composite
material,concrete,matériau=béton
material,dry_stone,matériau=pierre sèche
material,earth,matériau=terre
material,epoxy,matériau = époxy
material,glass,matériau = verre
material,granite,matériau=granit
material,granite_stone,matériau=pierre de granit
material,iron,matériau = fer
material,light,matériau=lumière
material,limestone,matériau = calcaire
material,marble,matériau=marbre
material,masonry,matériau=maçonnerie
material,metal,matériau = métal
material,metal;wood,matériau=métal;bois
material,paving_stones,matériau=pavés
material,plastic,matière = plastique
material,reinforced_concrete,matériau=béton_armé
material,rock,matériau = roche
material,sand,matériau = sable
material,sandstone,matériau=grès
material,soil,matériau = sol
material,steel,matériau=acier
material,stone,matériau = pierre
material,wood,matériau = bois
material,wood;metal,matériau=bois;métal
max_age,11,âge_max=11
maxaxleload,10,maxaxleload=10
maxaxleload,11.5,maxaxleload=11.5
maxheight,2,hauteur maximale=2
maxheight,4,hauteur maximale=4
maxheight,5,hauteur maximale=5
maxheight,*,hauteur maximale=*
maxheight,2.1,"hauteur maximale=2,1"
maxheight,4.1,"hauteur maximale=4,1"
maxheight,4.5,"hauteur maximale = 4,5"
maxheight,below_default,hauteur maximale=inférieure à la valeur par défaut
maxheight,default,hauteur maximale=par défaut
maxheight:signed,no,hauteur maximale : signé=non
maxspeed,1,vitesse maximale=1
maxspeed,50,vitesse maximale=50
maxspeed,AT:rural,vitesse maximale=AT:rural
maxspeed,AT:urban,vitesse maximale=AT:urbain
maxspeed,BG:urban,vitesse maximale=BG:urbain
maxspeed,BY:urban,vitesse maximale=BY:urbain
maxspeed,CZ:urban,vitesse maximale=CZ:urbain
maxspeed,DE:rural,vitesse maximale=DE:rural
maxspeed,DE:urban,vitesse maximale=DE:urbain
maxspeed,ES:rural,vitesse maximale=ES:rural
maxspeed,ES:urban,vitesse maximale=ES:urbaine
maxspeed,GR:urban,vitesse maximale=GR:urbain
maxspeed,implicit,vitesse maximale=implicite
maxspeed,IT:rural,vitesse maximale=IT:rural
maxspeed,IT:urban,vitesse maximale=IT:urbain
maxspeed,no,vitesse maximale=non
maxspeed,none,vitesse maximale=aucune
maxspeed,RO:rural,vitesse maximale=RO:rural
maxspeed,RO:trunk,vitesse maximale=RO:tronc
maxspeed,RO:urban,vitesse maximale=RO:urbain
maxspeed,RS:urban,vitesse maximale=RS:urbain
maxspeed,RU:living_street,vitesse_max=RU:rue_vivante
maxspeed,RU:motorway,vitesse maximale=RU:autoroute
maxspeed,RU:rural,vitesse maximale=RU:rural
maxspeed,RU:urban,vitesse maximale=RU:urbaine
maxspeed,signals,vitesse maximale=signaux
maxspeed,UA:rural,vitesse maximale=UA:rural
maxspeed,UA:urban,vitesse maximale=UA:urbain
maxspeed,walk,vitesse maximale = marche
maxspeed:advisory,30,vitesse maximale : avis=30
maxspeed:advisory,20 mph,vitesse maximale recommandée : 20 mph
maxspeed:backward,30,vitesse maximale en marche arrière = 30
maxspeed:backward,40,vitesse maximale en marche arrière = 40
maxspeed:backward,50,vitesse maximale en marche arrière = 50
maxspeed:backward,60,vitesse maximale en marche arrière = 60
maxspeed:backward,70,vitesse maximale en marche arrière = 70
maxspeed:backward,80,vitesse maximale en marche arrière = 80
maxspeed:backward,90,vitesse maximale en marche arrière = 90
maxspeed:backward,100,vitesse maximale en marche arrière = 100
maxspeed:bus,70,vitesse maximale : bus = 70
maxspeed:bus,80,vitesse maximale : bus = 80
maxspeed:bus,100,vitesse maximale : bus=100
maxspeed:forward,30,vitesse maximale : avant=30
maxspeed:forward,40,vitesse maximale : avant = 40
maxspeed:forward,50,vitesse maximale : avant=50
maxspeed:forward,60,vitesse maximale : avant = 60
maxspeed:forward,70,vitesse maximale : avant = 70
maxspeed:forward,80,vitesse maximale : avant = 80
maxspeed:forward,90,vitesse maximale : avant = 90
maxspeed:forward,100,vitesse maximale : avant=100
maxspeed:hgv,50,vitesse maximale : hgv=50
maxspeed:hgv,70,vitesse maximale : hgv=70
maxspeed:hgv,80,vitesse maximale : hgv=80
maxspeed:hgv,55 mph,vitesse maximale : hgv = 55 mph
maxspeed:hgv,55␣mph,vitesse maximale : hgv=55 ␣ mph
maxspeed:hgv:conditional,90 @ (weight>=3.86),"vitesse maximale : hgv : conditionnel=90 @ (poids>=3,86)"
maxspeed:hgv:conditional,90␣@␣(weight<,vitesse maximale:hgv:conditionnel=90 ␣ @ ␣ (poids<
maxspeed:hgv:conditional,90␣@␣(weight>,vitesse maximale:hgv:conditionnel=90 ␣ @ ␣ (poids>
maxspeed:psv:conditional,90 @ (weight>=3.86),"vitesse maximale :psv :conditionnel=90 @ (poids>=3,86)"
maxspeed:psv:conditional,90␣@␣(weight>,vitesse maximale:psv:conditionnel=90 ␣ @ ␣ (poids>
maxspeed:source,default residential speed limit in Australia,maxspeed:source=limite de vitesse résidentielle par défaut en Australie
maxspeed:trailer,70,vitesse maximale : remorque = 70
maxspeed:trailer,80,vitesse maximale : remorque = 80
maxspeed:trailer,55 mph,vitesse maximale de la remorque : 55 mph
maxspeed:trailer,55␣mph,vitesse maximale de la remorque : 55 mph
maxspeed:type,AT:urban,maxspeed:type=AT:urbain
maxspeed:type,AT:zone30,vitesse maximale:type=AT:zone30
maxspeed:type,AU:urban,maxspeed:type=AU:urbain
maxspeed:type,CZ:urban,maxspeed:type=CZ:urbain
maxspeed:type,DE:rural,vitesse maximale:type=DE:rural
maxspeed:type,DE:urban,maxspeed:type=DE:urbain
maxspeed:type,DE:zone30,vitesse maximale:type=DE:zone30
maxspeed:type,FR:rural,vitesse maximale:type=FR:rural
maxspeed:type,FR:urban,vitesse maximale:type=FR:urbain
maxspeed:type,FR:zone30,vitesse maximale:type=FR:zone30
maxspeed:type,GB:motorway,maxspeed:type=GB:autoroute
maxspeed:type,GB:nsl_dual,vitesse maximale : type=GB : nsl_dual
maxspeed:type,GB:nsl_restricted,vitesse maximale : type=GB : nsl_restreint
maxspeed:type,GB:nsl_single,vitesse maximale : type=GB : nsl_single
maxspeed:type,GB:zone20,vitesse maximale : type=GB : zone 20
maxspeed:type,IT:urban,maxspeed:type=IT:urbain
maxspeed:type,PL:rural,vitesse maximale:type=PL:rural
maxspeed:type,PL:urban,maxspeed:type=PL:urbain
maxspeed:type,RO:urban,maxspeed:type=RO:urbain
maxspeed:type,sign,vitesse maximale:type=sign
maxstay,2 hours,durée maximale de séjour = 2 heures
maxstay,no,séjour max=non
maxstay,unlimited,séjour max=illimité
maxweight,5,poids max=5
maxweight,6,poids max=6
maxweight,10,poids maximal=10
maxweight,12,poids maximal=12
maxweight,20,poids maximal=20
maxweight,64,poids maximal=64
maxweight,74,poids maximal=74
maxweight,*,poids max=*
maxweight,3.5,"poids max=3,5"
maxweight,44000 lbs,poids maximal = 44 000 livres
maxweight,7.5,"poids max=7,5"
maxweight:conditional,none @ destination,maxweight:conditional=none @ destination
maxweight:signed,no,poids maximal:signé=non
maxweightrating:hgv,7.5,maxweightrating:hgv=7.5
maxweightrating:hgv:conditional,none @ destination,maxweightrating:hgv:conditional=none @ destination
maxwidth,*,largeur maximale=*
MCC,268,MCC=268
meadow,agricultural,prairie = agricole
meadow,agriculture,prairie = agriculture
meadow,meadow_orchard,prairie=verger_prairie
meadow,paddock,prairie = enclos
meadow,pasture,prairie = pâturage
meadow,transitional,prairie = transition
mechanical_coupling,nodding_donkey,couplage_mécanique=âne_qui_noie
mechanical_driver,combustion_engine,entraînement_mécanique=moteur_à_combustion
mechanical_driver,electric_motor,entraînement_mécanique=moteur_électrique
mechanical_driver,manual,mécanique_driver=manuel
mechanical_driver,reciprocating_solenoid,entraînement_mécanique=solénoïde_alternatif
median,no,médiane = non
medical,aed,médical=aed
megalith_type,alignment,type_mégalithe=alignement
megalith_type,chamber,type_mégalithe=chambre
megalith_type,cist,type_mégalithe=cist
megalith_type,dolmen,type_mégalithe=dolmen
megalith_type,gallery_grave,type_mégalithe=tombe_galerie
megalith_type,long_barrow,type_mégalithe=barrow_long
megalith_type,menhir,type_mégalithe=menhir
megalith_type,nuraghe,type_mégalithe=nuraghe
megalith_type,passage_grave,type_mégalithe=tombe_à_passage
megalith_type,ring_cairn,type_mégalithe=cairn_anneau
megalith_type,stone_circle,type_mégalithe=cercle_de_pierres
megalith_type,stone_ship,type_mégalithe=navire_en_pierre
megalith_type,tholos,type_mégalithe=tholos
megalith_type,well,type_mégalithe=puits
memorial,bench,mémorial=banc
memorial,blue_plaque,mémorial=plaque_bleue
memorial,bust,mémorial = buste
memorial,cenotaph,mémorial = cénotaphe
memorial,cross,mémorial = croix
memorial,flood_mark,mémorial=marque_d'inondation
memorial,ghost_bike,mémorial=vélo_fantôme
memorial,khachkar,mémorial=khatchkar
memorial,memorial,mémorial=mémorial
memorial,obelisk,mémorial = obélisque
memorial,plaque,mémorial = plaque
memorial,sculpture,mémorial = sculpture
memorial,statue,mémorial=statue
memorial,stele,mémorial = stèle
memorial,stolperstein,mémorial=stolperstein
memorial,stone,monument=pierre
memorial,storm_surge_post,mémorial=poste_tempête_surge
memorial,vehicle,mémorial=véhicule
memorial,war_memorial,mémorial=mémorial_de_guerre
memorial:type,obelisk,mémorial:type=obélisque
memorial:type,plaque,mémorial:type=plaque
memorial:type,plate,mémorial:type=plaque
memorial:type,statue,mémorial:type=statue
memorial:type,stele,mémorial:type=stèle
memorial:type,stolperstein,mémorial:type=stolperstein
message,commercial,message=commercial
message,funding,message=financement
metcouncil:dfz,N,metcouncil:dfz=N
metcouncil:site_hfn,N,metcouncil:site_hfn=N
metcouncil:sun_trips,0,metcouncil:sun_trips=0
metre_load,8,charge_métrique=8
military,academy,militaire=académie
military,airfield,militaire = aérodrome
military,ammunition,munitions militaires
military,barracks,militaire = caserne
military,base,militaire = base
military,bombcrater,militaire = cratère de bombe
military,bunker,militaire = bunker
military,checkpoint,militaire = point de contrôle
military,danger_area,militaire=zone_dangereuse
military,depot,dépôt militaire
military,exclusion_zone,militaire = zone d'exclusion
military,launchpad,militaire = rampe de lancement
military,missile,militaire = missile
military,naval_base,militaire=base navale
military,nuclear_explosion_site,site d'explosion nucléaire militaire
military,obstacle_course,parcours d'obstacles militaire
military,office,militaire = bureau
military,range,militaire = portée
military,school,militaire = école
military,training_area,zone d'entraînement militaire
military,trench,militaire = tranchée
military_service,*,service_militaire=*
military_service,air_force,service_militaire=force_aérienne
military_service,army,service_militaire=armée
military_service,coast_guard,service_militaire=garde_côtes
military_service,marines,service_militaire=marines
military_service,navy,service_militaire=marine
min_age,3,âge_min=3
min_height,3,hauteur_min=3
minspeed,50,vitesse minimale=50
minspeed,60,vitesse minimale=60
minspeed,*,vitesse minimale=*
minspeed,40 mph,vitesse minimale = 40 mph
mml:class,32611,mml:class=32611
mml:class,34100,mml:class=34100
mml:class,35300,mml:class=35300
mml:class,35412,mml:class=35412
mml:class,36200,mml:class=36200
mml:class,36311,mml:class=36311
mml:class,36312,mml:class=36312
mml:class,42131,mml:class=42131
mml:class,42161,mml:class=42161
mml:class,42211,mml:class=42211
mml:class,42231,mml:class=42231
mml:class,42261,mml:class=42261
mofa,designated,mofa=désigné
mofa,no,mofa=non
mofa,use_sidepath,mofa=utiliser_chemin_latéral
mooring,commercial,amarrage = commercial
mooring,cruise,amarrage = croisière
mooring,declaration,amarrage=déclaration
mooring,ferry,amarrage = ferry
mooring,guest,amarrage=invité
mooring,monobuoy,amarrage = monobouée
mooring,private,amarrage = privé
mooring,ring,amarrage = anneau
mooring,sbm,amarrage=sbm
mooring,spm,amarrage=spm
mooring,visitor,amarrage = visiteur
moped,designated,cyclomoteur = désigné
moped,no,cyclomoteur = non
moped,use_sidepath,mobylette=utiliser_chemin_latéral
motor_vehicle,agricultural,véhicule_moteur=agricole
motor_vehicle,agricultural;forestry,véhicule_motorisé=agricole;forestier
motor_vehicle,customers,véhicule_moteur=clients
motor_vehicle,delivery,véhicule_moteur=livraison
motor_vehicle,designated,véhicule_moteur=désigné
motor_vehicle,destination,véhicule_moteur=destination
motor_vehicle,forestry,véhicule_moteur=foresterie
motor_vehicle,no,véhicule_moteur=non
motor_vehicle,permissive,véhicule_moteur=permissif
motor_vehicle,permit,véhicule à moteur=permis
motor_vehicle,private,véhicule_moteur=privé
motorboat,no,bateau à moteur = non
motorcar,agricultural,automobile = agricole
motorcar,designated,automobile = désigné
motorcar,destination,voiture = destination
motorcar,no,voiture=non
motorcar,private,voiture = privée
motorcycle,agricultural,moto=agricole
motorcycle,designated,moto = désignée
motorcycle,destination,moto = destination
motorcycle,no,moto=non
motorcycle_friendly,customary,moto_friendly=habituel
motorcycle:clothes,*,moto:vêtements=*
motorcycle:type,*,moto:type=*
motorcycle:type,electric,moto:type=électrique
motorcycle:type,scooter,moto:type=scooter
motorcycle:type,sportbike,moto:type=sportive
motorroad,no,autoroute=non
mountain_pass,*,col_de_montagne=*
mtb,designated,VTT = désigné
mtb,no,VTT=non
mtb:scale,0,VTT:échelle=0
mtb:scale,1,VTT:échelle=1
mtb:scale,2,VTT:échelle=2
mtb:scale,3,VTT:échelle=3
mtb:scale,4,VTT:échelle=4
mtb:scale,0+,VTT:échelle=0+
mtb:scale:imba,0,VTT:échelle:imba=0
mtb:scale:imba,1,VTT:échelle:imba=1
mtb:scale:imba,2,VTT:échelle:imba=2
mtb:scale:imba,3,VTT:échelle:imba=3
mtb:scale:uphill,0,VTT:échelle:montée=0
mtb:scale:uphill,1,VTT:échelle:montée=1
mtb:scale:uphill,2,VTT:échelle:montée=2
mtb:scale:uphill,3,VTT:échelle:montée=3
mtb:scale:uphill,4,VTT:échelle:montée=4
mtb:scale:uphill,5,VTT:échelle:montée=5
mtb:type,allmountain,VTT:type=allmountain
mtb:type,crosscountry,VTT:type=crosscountry
mtb:type,downhill,VTT:type=descente
museum,aerospace,musée=aérospatiale
museum,agriculture,musée = agriculture
museum,archaeological,musée=archéologique
museum,art,musée = art
museum,aviation,musée = aviation
museum,children,musée = enfants
museum,history,musée = histoire
museum,living_history,musée=histoire vivante
museum,local,musée=local
museum,military,musée=militaire
museum,nature,musée = nature
museum,open_air,musée=en plein air
museum,railway,musée = chemin de fer
museum,technology,musée = technologie
museum,transport,musée = transport
name,1,nom=1
name,*,nom=*
name,1st Street,nom=1ère rue
name:en,7-Eleven,nom:en=7-Eleven
name:en,FamilyMart,nom:en=FamilyMart
name:en,Pyaterochka,nom:en=Pyaterochka
name:en,Qanat,nom:en=Qanat
name:etymology:wikidata,*,nom:étymologie:données Wikipédia=*
name:etymology:wikidata,Q1394,nom:étymologie:wikidata=Q1394
name:etymology:wikidata,Q42976,nom:étymologie:wikidata=Q42976
name:etymology:wikidata,Q8027,nom:étymologie:wikidata=Q8027
name:ja,*,nom:ja=*
name:ja,セブン-イレブン,nom:ja=セブン-イレブン
name:ja,ファミリーマート,nom:ja=ファミリーマート
name:prefix,*,nom:préfixe=*
name:prefix,East,nom:préfixe=Est
name:prefix,North,nom:préfixe=Nord
name:prefix,South,nom:préfixe=Sud
name:prefix,West,nom:préfixe=Ouest
name:prefix,вёска,nom:préfixe=вёска
name:prefix,село,nom:préfixe=село
name:prefix,урочышча,nom:préfixe=урочышча
name:prefix:be,*,nom:préfixe:être=*
name:prefix:be,вёска,nom:préfixe:être=вёска
name:prefix:be,урочышча,nom:préfixe:be=урочышча
name:prefix:ru,*,nom:préfixe:ru=*
name:prefix:ru,деревня,nom:préfixe:ru=деревня
name:prefix:ru,урочище,nom:préfixe:ru=урочище
name:ru,Пятёрочка,nom:ru=Пятёрочка
name:ru,Центральная улица,name:ru=Центральная улица
name:signed,no,nom:signé=non
name:uk,Центральна вулиця,name:uk=Центральна вулиця
naptan:Bearing,E,naptan:Roulement=E
naptan:Bearing,N,naptan:Roulement=N
naptan:Bearing,NE,naptan:Roulement=NE
naptan:Bearing,NW,Naptan : Roulement = NW
naptan:Bearing,S,Naptan : Roulement = S
naptan:Bearing,SE,naptan:Roulement=SE
naptan:Bearing,SW,Naptan : Roulement = SW
naptan:Bearing,W,Naptan : Roulement = W
naptan:BusStopType,CUS,naptan:BusStopType=CUS
naptan:BusStopType,MKD,naptan:BusStopType=MKD
naptan:Indicator,adj,naptan:Indicateur=adj
naptan:Indicator,Opp,Naptan : Indicateur = Opp
naptan:Indicator,opp,naptan:Indicateur=opp
naptan:PlusbusZoneRef,BHAMNWS,naptan:PlusbusZoneRef=BHAMNWS
naptan:PlusbusZoneRef,LEEDS,naptan:PlusbusZoneRef=LEEDS
naptan:PlusbusZoneRef,MNCRPIC,naptan:PlusbusZoneRef=MNCRPIC
naptan:Status,*,naptan:Statut=*
naptan:Status,ACT,naptan:Statut=ACT
naptan:StopAreaType,GPBS,naptan:StopAreaType=GPBS
naptan:StopType,BCT,naptane:StopType=BCT
naptan:verified,no,naptan:vérifié=non
natural,anthill,naturel = fourmilière
natural,arch,naturel=arche
natural,arete,naturel=arête
natural,atoll,naturel = atoll
natural,avalanche_dam,naturel=barrage à avalanche
natural,bare_rock,naturel=roche nue
natural,bay,naturel = baie
natural,beach,naturel = plage
natural,bedrock,naturel = roche mère
natural,birds_nest,naturel=nid_d'oiseau
natural,blowhole,naturel = trou de soufflure
natural,butte,naturel=butte
natural,caldera,naturel=caldeira
natural,cape,naturel = cap
natural,cave,naturel = grotte
natural,cave_entrance,naturel=entrée_de_grotte
natural,cliff,naturel = falaise
natural,cliff/Archive/Proposal,naturel=falaise/Archives/Proposition
natural,cloud,naturel=nuage
natural,coastline,naturel = littoral
natural,col,naturel=col
natural,couloir,naturel=couloir
natural,crater,naturel = cratère
natural,crevasse,crevasse naturelle
natural,desert,naturel = désert
natural,dune,naturel = dune
natural,earth_bank,naturel=terre_bank
natural,esker,naturel=esker
natural,fell,naturel = tombé
natural,fjord,naturel = fjord
natural,fumarole,naturel = fumée
natural,geothermal,naturel = géothermique
natural,geothermal_area,zone géothermique naturelle
natural,geothermal_field,champ géothermique naturel
natural,geyser,geyser naturel
natural,glacier,naturel = glacier
natural,gorge,naturel = gorge
natural,grass,naturel = herbe
natural,grassland,naturel = prairie
natural,ground,naturel = sol
natural,gully,naturel = ravin
natural,heath,naturel = santé
natural,hill,naturel = colline
natural,hot_spring,source thermale naturelle
natural,human,naturel = humain
natural,hummock,naturel = bosse
natural,islet,naturel=îlot
natural,isthmus,naturel = isthme
natural,lake,naturel = lac
natural,land,naturel = terre
natural,landform,naturel = relief
natural,landslide,glissement de terrain naturel
natural,lava,naturel = lave
natural,liana,naturel=liana
natural,marsh,naturel = marais
natural,meadow,naturel = prairie
natural,mesa,naturel=mesa
natural,meteor_crater,naturel=cratère_de_météorite
natural,moor,naturel = lande
natural,moraine,naturel = moraine
natural,moss,naturel = mousse
natural,mountain_range,naturel=chaîne de montagnes
natural,mud,naturel = boue
natural,naled,naturel=naled
natural,palaeontological_site,site paléontologique naturel
natural,peak,naturel = pic
natural,peninsula,naturel = péninsule
natural,plant,naturel = plante
natural,plateau,naturel = plateau
natural,reef,naturel = récif
natural,ridge,crête naturelle
natural,river_terrace,naturel=terrasse_rivière
natural,riverbank,naturel = rive
natural,riverbed,naturel = rivière
natural,rock,naturel = roche
natural,rock_overhang,naturel=surplomb rocheux
natural,rocks,roches naturelles
natural,saddle,naturel = selle
natural,sand,naturel = sable
natural,scree,naturel=éboulis
natural,scrub,naturel = gommage
natural,shingle,naturel = bardeau
natural,shoal,naturel = banc de sable
natural,shrub,naturel = arbuste
natural,shrubbery,naturel = arbuste
natural,sinkhole,naturel = gouffre
natural,slope,pente naturelle
natural,spring,naturel = printemps
natural,stone,naturel = pierre
natural,strait,naturel = droit
natural,termite_mound,naturel=termite_monticule
natural,tidal,naturel = marée
natural,tree,naturel = arbre
natural,tree_group,naturel=groupe_arbres
natural,tree_row,naturel=arbre_row
natural,tree_stump,naturel=souche_d'arbre
natural,tree/Archived_proposal,arbre naturel/Proposition archivée
natural,"tree/List_of_Genus,_Leaf_cycle,_Leaf_type","naturel=arbre/Liste_des_Genres,_cycle_des_feuilles,_type_de_feuilles"
natural,tundra,naturel = toundra
natural,valley,naturel = vallée
natural,volcano,naturel = volcan
natural,wallow,naturel = semence
natural,water,naturel = eau
natural,wetland,naturel = zone humide
natural,wood,naturel = bois
navigationaid,als,navigationaid=als
navigationaid,papi,navigationaid=papi
navigationaid,rwc,navigationaid=rwc
navigationaid,rwe,navigationaid=rwe
navigationaid,tdz,navigationaid=tdz
navigationaid,txc,navigationaid=txc
navigationaid,txe,navigationaid=txe
navigationaid,vasi,navigationaid=vasi
ncat,*,ncat=*
ncat,광역시도로,ncat= 광역시도로
ncat,국도,ncat= 국도
ncat,지방도,ncat= 지방도
network,*,réseau=*
network,AC Transit,réseau=AC Transit
network:en,G-BUS,réseau:en=G-BUS
network:guid,DE-BW-VRN,réseau:guid=DE-BW-VRN
network:guid,DE-BY-MVV,réseau:guid=DE-BY-MVV
network:ja,ハローサイクリング,réseau:ja=ハローサイクリング
network:ko,경기도 시내버스,réseau:ko= 경기도 시내버스
network:short,MVV,réseau:court=MVV
network:short,RMV,réseau:court=RMV
network:short,VBB,réseau:court=VBB
network:short,VRN,réseau:court=VRN
network:short,WT,réseau:court=WT
network:type,basic_network,réseau:type=réseau_basique
network:type,lcn,réseau:type=lcn
network:type,Local,réseau:type=Local
network:type,lwn,réseau:type=lwn
network:type,node_network,réseau:type=réseau_de_nœuds
network:type,rcn,réseau:type=rcn
network:wikidata,Q111611112,réseau:wikidata=Q111611112
network:wikidata,Q117309,réseau:wikidata=Q117309
network:wikidata,Q1503488,réseau:wikidata=Q1503488
network:wikidata,Q1553051,réseau:wikidata=Q1553051
network:wikidata,Q2516485,réseau:wikidata=Q2516485
network:wikidata,Q259000,réseau:wikidata=Q259000
network:wikidata,Q27926285,réseau:wikidata=Q27926285
network:wikidata,Q314042,réseau:wikidata=Q314042
network:wikidata,Q3307442,réseau:wikidata=Q3307442
network:wikidata,Q343136,réseau:wikidata=Q343136
network:wikidata,Q3512080,réseau:wikidata=Q3512080
network:wikidata,Q3553869,réseau:wikidata=Q3553869
network:wikidata,Q448199,réseau:wikidata=Q448199
network:wikidata,Q4859793,réseau:wikidata=Q4859793
network:wikidata,Q5001345,réseau:wikidata=Q5001345
network:wikidata,Q614819,réseau:wikidata=Q614819
network:wikidata,Q7392689,réseau:wikidata=Q7392689
network:wikidata,Q7833625,réseau:wikidata=Q7833625
network:wikidata,Q8066998,réseau:wikidata=Q8066998
network:wikidata,Q91231927,réseau:wikidata=Q91231927
network:wikidata,Q928178,réseau:wikidata=Q928178
network:wikipedia,de:Rhein-Main-Verkehrsverbund,réseau:wikipedia=de:Rhein-Main-Verkehrsverbund
network:wikipedia,en:Chicago Transit Authority,réseau:wikipedia=fr:Chicago Transit Authority
network:wikipedia,en:Chicago␣Transit␣Authority,network:wikipedia=fr:Chicago ␣ Transit ␣ Autorité
network:wikipedia,en:Valley Metro,réseau:wikipedia=fr:Valley Metro
network:wikipedia,sv:Västtrafik,réseau:wikipedia=sv:Västtrafik
ngbe:codigo,80214,ngbe:code=80214
ngbe:grupo,Relieve,ngbe:grupo=Soulager
ngbe:huso,30,ngbe:huso=30
ngbe:subgrupo,Parajes,ngbe:subgrupo=Parajes
ngbe:tema,Toponimia,ngbe:tema=Toponimia
ngbe:tipotexto,S,ngbe:tipotexto=S
ngbe:version,provisional,ngbe:version=provisionnelle
nhd-shp:fcode,46003,nhd-shp:fcode=46003
nhd-shp:fdate,2002-01-10,nhd-shp:fdate=2002-01-10
NHD:Elevation,0.00000000000,"NHD : Élévation = 0,00000000000"
NHD:FCode,33600,NHD:FCode=33600
nhd:fcode,39001,nhd:fcode=39001
nhd:fcode,39004,nhd:fcode=39004
nhd:fcode,46003,nhd:fcode=46003
nhd:fcode,46006,nhd:fcode=46006
nhd:fcode,46007,nhd:fcode=46007
nhd:fcode,55800,nhd:fcode=55800
nhd:fdate,2008-02-28,nhd:fdate=2008-02-28
NHD:FDate,2007/08/08,NHD:FDate=2007/08/08
nhd:fdate,Fri Dec 28 00:00:00 PST 2007,nhd:fdate=ven. 28 déc. 00:00:00 PST 2007
nhd:fdate,Fri Feb 22 00:00:00 PST 2008,nhd:fdate=vendredi 22 février 00:00:00 PST 2008
nhd:fdate,Fri Mar 08 00:00:00 PST 2002,nhd:fdate=vendredi 8 mars 00:00:00 PST 2002
nhd:fdate,Fri May 09 00:00:00 PDT 2008,nhd:fdate=ven. 9 mai 2008 00:00:00 PDT
nhd:fdate,Fri␣Dec␣28␣00:00:00␣PST␣2007,nhd:fdate=ven. ␣ déc. ␣ 28 ␣ 00:00:00 ␣ PST ␣ 2007
nhd:fdate,Mon Mar 04 00:00:00 PST 2002,nhd:fdate=Lun 4 mars 00:00:00 PST 2002
nhd:fdate,Mon Mar 10 00:00:00 CST 2003,nhd:fdate=lun. 10 mars 2003 00:00:00 CST
nhd:fdate,Mon Mar 24 00:00:00 PDT 2008,nhd:fdate=Lun 24 mars 00:00:00 PDT 2008
nhd:fdate,Sat Apr 05 00:00:00 PDT 2008,nhd:fdate=sam 05 avr 00:00:00 PDT 2008
nhd:fdate,Sat Dec 15 00:00:00 PST 2007,nhd:fdate=sam 15 déc 00:00:00 PST 2007
nhd:fdate,Sun May 13 00:00:00 PDT 2007,nhd:fdate=Dim 13 mai 00:00:00 PDT 2007
nhd:fdate,Sun Sep 23 00:00:00 PDT 2007,nhd:fdate=Dim 23 sept. 2007 00:00:00 PDT
